tile_h,tile_v,area,perimeter
"0","5214",980100,3960
"0","5247",980100,3960
"0","5280",980100,3960
"0","5313",980100,3960
"0","5346",980100,3960
"0","5379",980100,3960
"0","5412",980100,3960
"0","5445",980100,3960
"0","5478",980100,3960
"0","5511",980100,3960
"0","5544",980100,3960
"0","5577",980100,3960
"0","5610",980100,3960
"0","5643",980100,3960
"0","5676",980100,3960
"0","5709",980100,3960
"33","5148",980100,3960
"33","5181",980100,3960
"33","5214",980100,3960
"33","5247",980100,3960
"33","5280",980100,3960
"33","5313",980100,3960
"33","5346",980100,3960
"33","5379",980100,3960
"33","5412",980100,3960
"33","5445",980100,3960
"33","5478",980100,3960
"33","5511",980100,3960
"33","5544",980100,3960
"33","5577",980100,3960
"33","5610",980100,3960
"33","5643",980100,3960
"33","5676",980100,3960
"33","5709",980100,3960
"66","5148",980100,3960
"66","5181",980100,3960
"66","5214",980100,3960
"66","5247",980100,3960
"66","5280",980100,3960
"66","5313",980100,3960
"66","5346",980100,3960
"66","5379",980100,3960
"66","5412",980100,3960
"66","5445",980100,3960
"66","5478",980100,3960
"66","5511",980100,3960
"66","5544",980100,3960
"66","5577",980100,3960
"66","5610",980100,3960
"66","5643",980100,3960
"66","5676",980100,3960
"66","5709",980100,3960
"99","5115",980100,3960
"99","5148",980100,3960
"99","5181",980100,3960
"99","5214",980100,3960
"99","5247",980100,3960
"99","5280",980100,3960
"99","5313",980100,3960
"99","5346",980100,3960
"99","5379",980100,3960
"99","5412",980100,3960
"99","5445",980100,3960
"99","5478",980100,3960
"99","5511",980100,3960
"99","5544",980100,3960
"99","5577",980100,3960
"99","5610",980100,3960
"99","5643",980100,3960
"99","5676",980100,3960
"99","5709",980100,3960
"132","5082",980100,3960
"132","5115",980100,3960
"132","5148",980100,3960
"132","5181",980100,3960
"132","5214",980100,3960
"132","5247",980100,3960
"132","5280",980100,3960
"132","5313",980100,3960
"132","5346",980100,3960
"132","5379",980100,3960
"132","5412",980100,3960
"132","5445",980100,3960
"132","5478",980100,3960
"132","5511",980100,3960
"132","5544",980100,3960
"132","5577",980100,3960
"132","5610",980100,3960
"132","5643",980100,3960
"132","5676",980100,3960
"132","5709",980100,3960
"132","5742",980100,3960
